YEAR,STATE,AVG_SCORE,TEST_SUBJECT,ENROLL,TOTAL_REVENUE,FEDERAL_REVENUE,STATE_REVENUE,LOCAL_REVENUE,$/STUDENT
2009,West Virginia,270.4157659,Mathematics,281908.0,3097212,355325,1793917,947970,10.986605559260468
2009,Wisconsin,288.1407262,Mathematics,867035.0,10991081,1258519,4785070,4947492,12.6766289711488
2009,Wyoming,286.104034,Mathematics,86971.0,1675761,108333,945765,621663,19.268043370778766
2007,Alabama,266.0001099,Mathematics,743273.0,7069040,689072,4070949,2309019,9.510691226507623
2007,Alaska,282.5571541,Mathematics,132197.0,1800616,282270,1052357,465989,13.6207024365152
2007,Arizona,275.5484264,Mathematics,969875.0,8724434,953861,4204089,3566484,8.995421059414873
2007,Arkansas,273.8998622,Mathematics,474532.0,4415981,483689,3319030,613262,9.305970935574418
2007,California,270.381784,Mathematics,6288686.0,72516936,7200298,42333637,22983001,11.531333572705014
2007,Colorado,286.1927562,Mathematics,790211.0,7689014,529854,3307016,3852144,9.730330253565187
2007,Connecticut,282.4727901,Mathematics,549230.0,8913149,386553,3299175,5227421,16.22844527793456
2007,Delaware,282.9920827,Mathematics,114678.0,1694929,102114,1071957,520858,14.779896754390554
2007,District of Columbia,248.1987424,Mathematics,56943.0,1148358,134700,0,1013658,20.166798377324692
2007,Florida,277.3834973,Mathematics,2656176.0,28898362,2489027,11578932,14830403,10.87968643644096
2007,Georgia,274.7786646,Mathematics,1628409.0,17755989,1475463,7907177,8373349,10.90388778249199
2007,Hawaii,268.7720134,Mathematics,180728.0,2985593,256696,2681049,47848,16.519814306582266
2007,Idaho,283.5075958,Mathematics,262935.0,2011951,202977,1338182,470792,7.651894955026908
2007,Illinois,280.497096,Mathematics,2101075.0,23897153,1862627,7566377,14468149,11.373774377402045
2007,Indiana,285.0072109,Mathematics,1034588.0,10458932,765168,5224450,4469314,10.109272483346027
2007,Iowa,285.2269031,Mathematics,483122.0,5194536,390585,2279228,2524723,10.752017088851263
2007,Kansas,290.0325998,Mathematics,468974.0,5038100,346441,2889107,1802552,10.74281303441129
2007,Kentucky,278.7047499,Mathematics,646360.0,6226696,677570,3557084,1992042,9.633479794541742
2007,Louisiana,272.3862996,Mathematics,662302.0,7048732,1234006,2911249,2903477,10.642776256149007
2007,Maine,286.4722531,Mathematics,193539.0,2538161,198101,1081891,1258169,13.114467885025757
2007,Maryland,285.7342652,Mathematics,851640.0,11674965,661677,4684827,6328461,13.708803015358603
2007,Massachusetts,297.9233445,Mathematics,945070.0,14407777,754202,6485380,7168195,15.245195593977165
2007,Michigan,276.8305171,Mathematics,1686473.0,20576110,1541818,11383198,7651094,12.200675611171954
2007,Minnesota,291.8511165,Mathematics,810104.0,9693509,546297,6267386,2879826,11.965758717399247
2007,Mississippi,264.8909187,Mathematics,494135.0,4220926,712846,2214700,1293380,8.542050249425765
2007,Missouri,280.6195383,Mathematics,910142.0,8908844,730811,3641310,4536723,9.788411039156527
2007,Montana,287.075529,Mathematics,144258.0,1474306,190631,702476,581199,10.219925411415659
2007,Nebraska,283.6505986,Mathematics,287135.0,3234014,298196,992032,1943786,11.263043516116113
2007,Nevada,270.8040244,Mathematics,422782.0,4006081,277849,2266751,1461481,9.475524028932169
2007,New Hampshire,287.557061,Mathematics,198625.0,2600123,137058,936882,1526183,13.090612964128383
2007,New Jersey,288.5834514,Mathematics,1363804.0,25293076,991769,10101279,14200028,18.545975814706512
2007,New Mexico,267.5380787,Mathematics,327816.0,3272953,444466,2360542,467945,9.984116089513629
2007,New York,280.1411772,Mathematics,2754976.0,50762544,3269310,22845772,24647462,18.42576632246524
